NIVEL;DESCRIÇÃO ITEM;QUANTIDADE ITEM;COMPRIMENTO;PESO ITEM;CÓDICO ITEM;PROCESSOS;MASCARA ENTRADA;MASCARA SAÍDA;NATUREZA;HASH;LARGURA
91.1.1;PERFIL DE ALUMÍNIO PAREDE FEMEA 300 X 2450MM;1,15;;1;1010030002;;;;;;
91.2;PERFIL DE ALUMINIO PAREDE MACHO 300 X 1150MM;12;115 CM;64,446 KG;;CS F C;301011;301011;3;NEO20260128305a;30 CM
91.2.1;PERFIL DE ALUMÍNIO PAREDE MACHO 300 X 2450MM;1,15;;1;1010030001;;;;;;
91.3;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 577MM";24;57,7 CM;18,83328 KG;;CS F;301001;301001;3;NEO20260128e345;5,08 CM
91.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,57;;1;1010020001;;;;;;
91.4;PERFIL DE ALUMINIO TRAVESSA 150 X 577MM;36;57,7 CM;35,3124 KG;;CS;301028;301028;3;NEO202601287255;15 CM
91.4.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,57;;1;1010030003;;;;;;
91.5;PERFIL DE ALUMINIO TRAVESSA 150 X 179MM;12;17,9 CM;3,6516 KG;;CS;301028;301028;3;NEO202601288e8e;15 CM
91.5.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,17;;1;1010030003;;;;;;
91.6;PERFIL DE ALUMINIO TRAVESSA 150 X 229MM;12;22,9 CM;4,6716 KG;;CS;301028;301028;3;NEO20260128df1f;15 CM
91.6.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,22;;1;1010030003;;;;;;
92;PAINEL PEITORIL-PP-56X115;4;;60;;S;301004;301004;3;NEO202601284371;
92.1;PERFIL DE ALUMINIO PAREDE FEMEA 300 X 1150MM;4;115 CM;22,172 KG;;CS F C;301011;301011;3;NEO20260128c53c;28 CM
92.1.1;PERFIL DE ALUMÍNIO PAREDE FEMEA 300 X 2450MM;1,15;;1;1010030002;;;;;;
92.2;PERFIL DE ALUMINIO PAREDE MACHO 300 X 1150MM;4;115 CM;21,482 KG;;CS F C;301011;301011;3;NEO20260128305a;28 CM
92.2.1;PERFIL DE ALUMÍNIO PAREDE MACHO 300 X 2450MM;1,15;;1;1010030001;;;;;;
92.3;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 537MM";8;53,7 CM;5,84256 KG;;CS F;301001;301001;3;NEO202601287a5c;5,08 CM
92.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,53;;1;1010020001;;;;;;
92.4;PERFIL DE ALUMINIO TRAVESSA 150 X 537MM;12;53,7 CM;10,9548 KG;;CS;301028;301028;3;NEO20260128d6c0;15 CM
92.4.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,53;;1;1010030003;;;;;;
92.5;PERFIL DE ALUMINIO TRAVESSA 150 X 179MM;4;17,9 CM;1,2172 KG;;CS;301028;301028;3;NEO202601288e8e;15 CM
92.5.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,17;;1;1010030003;;;;;;
92.6;PERFIL DE ALUMINIO TRAVESSA 150 X 229MM;4;22,9 CM;1,5572 KG;;CS;301028;301028;3;NEO20260128df1f;15 CM
92.6.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,22;;1;1010030003;;;;;;
93;PAINEL PEITORIL-PP-31X115;4;;35;;S;301004;301004;3;NEO20260128dbb8;
93.1;CHAPA DE ALUMINIO 5052 H34  #4,00MM 310 X 1150MM;4;115 CM;15,4008 KG;;CG C;301014;301014;3;NEO202601286d6e;31 CM
